8/07,Brian Daniel PINTADO,Athletics - Marathon Race Walk Relay Mixed,330,2
8/01,Brianna THROSSELL,Swimming - Women's 4 x 200m Freestyle Relay,255,1
8/10,Brigitte SLEEKING,Water Polo - Women,301,3
8/06,Brittany BROWN,Athletics - Women's 200m,46,3
8/11,Brittney GRINER,Basketball - Women,76,1
8/10,BRIZARD,Volleyball - Men,298,1
7/29,Brody MALONE,Artistic Gymnastics - Men's Team,13,3
7/27,Bronte CAMPBELL,Swimming - Women's 4 x 100m Freestyle Relay,254,1
8/10,Bronte HALLIGAN,Water Polo - Women,301,2
8/01,Brooke FRANCIS,Rowing - Women's Double Sculls,191,1
8/10,Brooke RABOUTOU,Sport Climbing - Women's Boulder & Lead,234,2
7/30,Brooks CURRY,Swimming - Men's 4 x 200m Freestyle Relay,272,2
8/03,Bryce DEADMON,Athletics - 4 x 400m Relay Mixed,68,2
8/10,Bryce DEADMON,Athletics - Men's 4 x 400m Relay,44,1
8/07,Bryony BOTHA,Cycling Track - Women's Team Pursuit,131,2
8/02,Bryony PAGE,Trampoline - Women,294,1
8/10,Busang Collen KEBINATSHIPI,Athletics - Men's 4 x 400m Relay,44,2
8/06,Buse CAVUSOGLU TOSUN,Wrestling - Women's Freestyle 68kg,322,3
8/09,Buse Naz CAKIROGLU,Boxing - Women's 50kg,88,2
8/10,Caden CUNNINGHAM,Taekwondo - Men +80kg,283,2
7/27,Caeleb DRESSEL,Swimming - Men's 4 x 100m Freestyle Relay,271,1
8/04,Caeleb DRESSEL,Swimming - Men's 4 x 100m Medley Relay,273,2
8/03,Caeleb DRESSEL,Swimming - Mixed 4 x 100m Medley Relay,274,1
8/03,Caileigh FILMER,Rowing - Women's Eight,201,2
8/01,Caio BONFIM,Athletics - Men's 20km Race Walk,42,2
8/08,Caitlin PARKER,Boxing - Women's 75kg,93,3
8/07,Calista LIU,Artistic Swimming - Team,21,2
8/11,CAMBI,Volleyball - Women,299,1
8/02,Cameron McEVOY,Swimming - Men's 50m Freestyle,257,1
8/10,Camilla HERREM,Handball - Women,165,1
8/03,Camille JEDRZEJEWSKI,Shooting - 25m Pistol Women,224,2
8/06,Camryn ROGERS,Athletics - Women's Hammer Throw,62,1
8/06,CAO Liguo,Wrestling - Men's Greco-Roman 60kg,312,2
8/10,CAO Yuan,Diving - Men's 10m Platform,139,1
7/30,Carissa NORSTEN,Rugby Sevens - Women,204,2
8/03,Carl HESTER,Equestrian - Dressage Team,144,3
